Designator,Mid X,Mid Y,Rotation,Layer
C1,378.0,-6.25,90.0,top
C10,372.75,-57.0,0.0,top
C11,372.75,-49.0,0.0,top
C2,360.5,-5.5,180.0,top
C3,362.25,-24.5,180.0,top
C4,361.25,-43.5,180.0,top
C5,361.5,-62.5,180.0,top
C6,378.75,-46.25,0.0,top
C7,370.25,-45.0,0.0,top
C8,387.25,-82.5,90.0,top
C9,374.5,-42.5,0.0,top
D1,372.0,-0.17,90.0,top
D2,383.08,-81.5,180.0,top
D3,375.75,-79.75,270.0,top
D4,381.33,-74.5,180.0,top
D5,381.33,-70.0,180.0,top
R1,410.9,-78.25,180.0,top
R2,389.35,-72.0,0.0,top
R3,402.0,-81.75,0.0,top
U1,389.05,-44.37,0.0,top
U2,400.0,-67.39,270.0,top
U3,393.8,-79.0,180.0,top
U4,375.15,6.35,180.0,top
USB2,353.725,-9.0,270.0,top
USB3,353.725,-28.0,270.0,top
USB4,353.725,-66.0,270.0,top
USB5,353.725,-47.0,270.0,top
USB6,378.18,-90.33,0.0,top
Y1,379.65,-50.15,90.0,top
